task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,error_type,count,failures,error_rate
multiplicative_relation,easy,medium,short,correct,1,0,0.0
multiplicative_relation,easy,medium,short,unit_scale_error,1,1,1.0
multiplicative_relation,easy,small,short,correct,6,0,0.0
multiplicative_relation,easy,small,short,unit_scale_error,1,1,1.0
multiplicative_relation,hard,large,long,arithmetic_error,2,2,1.0
multiplicative_relation,hard,large,long,correct,2,0,0.0
multiplicative_relation,hard,large,long,parse_failure,1,1,1.0
multiplicative_relation,hard,large,long,unit_scale_error,1,1,1.0
multiplicative_relation,hard,large,long,wrong_formula,1,1,1.0
multiplicative_relation,hard,medium,long,correct,1,0,0.0
multiplicative_relation,medium,large,medium,arithmetic_error,1,1,1.0
multiplicative_relation,medium,large,medium,correct,2,0,0.0
multiplicative_relation,medium,large,medium,unit_scale_error,1,1,1.0
multiplicative_relation,medium,medium,medium,correct,1,0,0.0
multiplicative_relation,medium,medium,medium,parse_failure,1,1,1.0
multiplicative_relation,medium,small,medium,correct,1,0,0.0
multiplicative_relation,medium,small,medium,variable_binding,1,1,1.0
ratio_change,easy,medium,short,correct,4,0,0.0
ratio_change,easy,small,short,correct,4,0,0.0
ratio_change,easy,small,short,variable_binding,1,1,1.0
ratio_change,hard,medium,long,correct,3,0,0.0
ratio_change,hard,small,long,correct,2,0,0.0
ratio_change,hard,small,long,unit_scale_error,1,1,1.0
ratio_change,hard,small,long,variable_binding,1,1,1.0
ratio_change,hard,small,long,wrong_formula,1,1,1.0
ratio_change,medium,medium,medium,correct,2,0,0.0
ratio_change,medium,medium,medium,wrong_formula,1,1,1.0
ratio_change,medium,small,medium,correct,3,0,0.0
ratio_change,medium,small,medium,unit_scale_error,2,2,1.0
temporal_numeric_constraint,easy,medium,long,correct,5,0,0.0
temporal_numeric_constraint,easy,small,long,correct,4,0,0.0
temporal_numeric_constraint,hard,medium,long,parse_failure,2,2,1.0
temporal_numeric_constraint,hard,medium,long,temporal_ordering,3,3,1.0
temporal_numeric_constraint,hard,small,long,parse_failure,1,1,1.0
temporal_numeric_constraint,hard,small,long,temporal_ordering,1,1,1.0
temporal_numeric_constraint,hard,small,long,unit_scale_error,1,1,1.0
temporal_numeric_constraint,medium,medium,long,correct,3,0,0.0
temporal_numeric_constraint,medium,medium,long,parse_failure,2,2,1.0
temporal_numeric_constraint,medium,medium,long,temporal_ordering,1,1,1.0
temporal_numeric_constraint,medium,small,long,correct,1,0,0.0
temporal_numeric_constraint,medium,small,long,temporal_ordering,1,1,1.0
weighted_aggregation,easy,small,long,arithmetic_error,1,1,1.0
weighted_aggregation,easy,small,long,correct,6,0,0.0
weighted_aggregation,easy,small,long,variable_binding,1,1,1.0
weighted_aggregation,easy,small,long,wrong_formula,1,1,1.0
weighted_aggregation,hard,small,long,arithmetic_error,2,2,1.0
weighted_aggregation,hard,small,long,correct,4,0,0.0
weighted_aggregation,hard,small,long,unit_scale_error,2,2,1.0
weighted_aggregation,medium,small,long,arithmetic_error,1,1,1.0
weighted_aggregation,medium,small,long,correct,4,0,0.0
weighted_aggregation,medium,small,long,variable_binding,1,1,1.0
weighted_aggregation,medium,small,long,wrong_formula,2,2,1.0
