task_family,difficulty_bucket,count,accuracy,error_rate,parser_or_output_format_risk,model_calculation_or_reasoning_error,prompt_or_task_misunderstanding_risk,multi_number_output_rate,equation_output_rate
multiplicative_relation,easy,9,1.0,0.0,0,0,0,0.0,0.0
multiplicative_relation,hard,8,0.0,1.0,0,8,0,0.0,0.0
multiplicative_relation,medium,8,0.25,0.75,0,6,0,0.0,0.0
ratio_change,easy,9,0.111111,0.888889,7,1,0,0.888889,0.888889
ratio_change,hard,8,0.375,0.625,5,0,0,1.0,1.0
ratio_change,medium,8,0.25,0.75,6,0,0,1.0,1.0
temporal_numeric_constraint,easy,9,0.222222,0.777778,3,4,0,0.555556,0.555556
temporal_numeric_constraint,hard,8,0.0,1.0,2,6,0,0.25,0.25
temporal_numeric_constraint,medium,8,0.25,0.75,1,5,0,0.375,0.375
weighted_aggregation,easy,9,0.0,1.0,1,0,8,0.111111,0.111111
weighted_aggregation,hard,8,0.0,1.0,0,0,8,0.0,0.0
weighted_aggregation,medium,8,0.0,1.0,1,0,7,0.125,0.125
