replicate,seed,residual_mean_square,selected_jaccard_with_observed
0,20260910,0.013646404,0.67320261
1,20260911,0.0223663126,0.53293413
2,20260912,0.0104028247,0.7414966
3,20260913,0.0242665792,0.44632768
4,20260914,0.007893861,0.38378378
5,20260915,0.0068767954,0.64102564
6,20260916,0.0112876274,0.47126437
7,20260917,0.0227151203,0.64102564
8,20260918,0.0117247829,0.58024691
9,20260919,0.0165510538,0.50588235
10,20260920,0.0179414433,0.55151515
11,20260921,0.018239111,0.47126437
12,20260922,0.0128413265,0.53293413
13,20260923,0.0217033832,0.50588235
14,20260924,0.0376530268,0.56097561
15,20260925,0.0198752674,0.50588235
16,20260926,0.0225781822,0.62025316
17,20260927,0.0201054515,0.55151515
18,20260928,0.0093728787,0.43820225
19,20260929,0.0178002754,0.49707602
20,20260930,0.0198410551,0.77777778
21,20260931,0.0086523719,0.39130435
22,20260932,0.0237396835,0.62025316
23,20260933,0.0112876274,0.47126437
24,20260934,0.0206514856,0.49707602
25,20260935,0.0140965891,0.39130435
26,20260936,0.0122355359,0.42222222
27,20260937,0.0234604473,0.41436464
28,20260938,0.0163210264,0.4301676
29,20260939,0.0095414291,0.48837209
30,20260940,0.0146922761,0.43820225
31,20260941,0.0151795671,0.66233766
32,20260942,0.0173178458,0.76551724
33,20260943,0.0188773365,0.88235294
34,20260944,0.0172967279,0.52380952
35,20260945,0.0078540851,0.37634409
36,20260946,0.0111775246,0.46285714
37,20260947,0.0071814358,0.34031414
38,20260948,0.0226119948,0.66233766
39,20260949,0.0112815547,0.57055215
40,20260950,0.0081139689,0.39130435
41,20260951,0.0109675236,0.6
42,20260952,0.0120815305,0.42222222
43,20260953,0.0153853569,0.66233766
44,20260954,0.0183980629,0.46285714
45,20260955,0.0148121423,0.79020979
46,20260956,0.0105897252,0.79020979
47,20260957,0.0091129949,0.42222222
48,20260958,0.0105287795,0.75342466
49,20260959,0.0078540851,0.37634409
50,20260960,0.0060297633,0.47126437
51,20260961,0.0165140541,0.40659341
52,20260962,0.0098299291,0.64102564
53,20260963,0.0220214076,0.66233766
54,20260964,0.0214577177,0.42222222
55,20260965,0.0145945417,0.59006211
56,20260966,0.0134982577,0.82857143
57,20260967,0.0086150998,0.46285714
58,20260968,0.0177112366,0.40659341
59,20260969,0.0094121679,0.49707602
60,20260970,0.0103814141,0.66233766
61,20260971,0.031169257,0.69536424
62,20260972,0.0096345823,0.47976879
63,20260973,0.0196396253,0.58024691
64,20260974,0.0113761177,0.53293413
65,20260975,0.0155473784,0.50588235
66,20260976,0.0198752674,0.50588235
67,20260977,0.0081151524,0.45454545
68,20260978,0.0215610763,0.69536424
69,20260979,0.019096433,0.5147929
70,20260980,0.0075801164,0.63057325
71,20260981,0.0174418486,0.75342466
72,20260982,0.0199644303,0.5147929
73,20260983,0.0329082099,0.68421053
74,20260984,0.0215633169,0.96923077
75,20260985,0.0178148226,0.77777778
76,20260986,0.0143029191,0.6
77,20260987,0.0154869429,0.4301676
78,20260988,0.0196617143,0.56097561
79,20260989,0.0212662535,0.48837209
80,20260990,0.0360450293,0.61006289
81,20260991,0.0062280533,0.58024691
82,20260992,0.0196356505,0.71812081
83,20260993,0.008327753,0.63057325
84,20260994,0.0215610763,0.69536424
85,20260995,0.0177702295,0.43820225
86,20260996,0.0230646827,0.59006211
87,20260997,0.0098913033,0.37634409
88,20260998,0.036563124,0.8962963
89,20260999,0.0257846924,0.68421053
90,20261000,0.0213619437,0.6
91,20261001,0.015903651,0.47126437
92,20261002,0.0143029191,0.6
93,20261003,0.0177333056,0.61006289
94,20261004,0.0149720137,0.59006211
95,20261005,0.0158814822,0.64102564
96,20261006,0.0154520722,0.55151515
97,20261007,0.0062280533,0.58024691
98,20261008,0.0242665792,0.44632768
99,20261009,0.0174418486,0.75342466
